Row	Column	Assay	Sample		Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
2	14	AY113	1A-rep3														CurveFitFailed																	
2	18	AY113	5B-rep1		-1	26.29079	88.48696		0.9998904	27613.84	0.7273352	1.943471	FALSE	FALSE	FALSE	8.49E-06										11	8319.159	1.378286	29.10594	12598.61	5.266405	2.514409		
2	19	AY113	5B-rep2		-1	26.61009	88.08189		0.9999299	11466.19	0.7124262	1.936404	FALSE	FALSE	FALSE	6.28E-06										22	10036.43	1.385266	29.43443	10609.8	1.669498	2.057129		
2	20	AY113	5B-rep3		-1	24.99533	89.49933		0.9999201	15357.18	0.7634712	1.94516	FALSE	FALSE	FALSE	1.99E-05										10	9125.686	1.376633	27.80829	11790.89	25.66125	2.292056		
2	21	AY113	8B-rep1		-1	28.03808	87.97365		0.9998538	46580.91	0.6595297	1.964909	FALSE	FALSE	FALSE	2.14E-06										16	8519.104	1.357703	30.82612	15527.88	5.090503	2.822713		
2	22	AY113	8B-rep2		-1	26.90469	88.36438		0.9999444	19827.35	0.6970917	1.945596	FALSE	FALSE	FALSE	6.81E-06										16	7519.983	1.376207	29.71709	16269.25	2.283037	3.163469		
2	23	AY113	8B-rep3														CtIsLarge. MultipleMeltPeaks																	
11	12	AY114	1A-rep1														NoAmplification																	
11	13	AY114	1A-rep2														NoAmplification																	
11	14	AY114	1A-rep3														NoAmplification																	
11	18	AY114	5B-rep1		-1	27.65272	84.73078		0.9999441	12382.88	0.6715677	1.849161	FALSE	FALSE	FALSE	1.38E-05										7	9000.585	1.480451	30.60242	13139.75	-21.92342	2.459877		
11	19	AY114	5B-rep2		-1	30.00923	84.62998		0.9999529	6849.265	0.5882252	1.885323	FALSE	FALSE	FALSE	1.27E-06	CtIsLarge									13	9090.706	1.438843	32.90412	10878.43	-5.203365	2.196654		
11	20	AY114	5B-rep3		-1	29.11903	84.64146		0.9999277	9693.267	0.6209685	1.867121	FALSE	FALSE	FALSE	2.80E-06										9	10396.68	1.459376	32.04097	9586.928	-25.28806	1.922115		
11	21	AY114	8B-rep1														NoAmplification																	
11	22	AY114	8B-rep2														NoAmplification																	
11	23	AY114	8B-rep3														NoAmplification																	
20	12	AY115	1A-rep1														NoAmplification																	
20	13	AY115	1A-rep2														NoAmplification																	
20	14	AY115	1A-rep3														NoAmplification																	
20	18	AY115	5B-rep1		-1	20.70616	76.12064		0.999929	15216.76	0.8601976	2.061055	FALSE	FALSE	FALSE	0.000123279										10	9583.486	1.275056	23.38535	11379.7	40.26826	2.187428		
20	19	AY115	5B-rep2		-1	21.08009	76.1337		0.9999193	17303.64	0.8542568	2.132214	FALSE	FALSE	FALSE	4.42E-05										7	9705.361	1.22241	23.68995	11534.18	57.12835	2.188434		
20	20	AY115	5B-rep3		-1	21.71989	76.02094		0.999924	18163.25	0.8392922	2.101274	FALSE	FALSE	FALSE	3.80E-05										7	6128.88	1.244518	24.35887	12040.44	31.6812	2.964541		
20	21	AY115	8B-rep1		-1	29.06311	76.28326		0.9999014	32165.31	0.6461741	2.052953	FALSE	FALSE	FALSE	2.67E-07										7	10593.14	1.281472	31.75076	15356.33	2.676662	2.449648		
20	22	AY115	8B-rep2														NoAmplification																	
20	23	AY115	8B-rep3														NoAmplification																	
29	12	AY116	1A-rep1														NoAmplification																	
29	13	AY116	1A-rep2														NoAmplification																	
29	14	AY116	1A-rep3														NoAmplification																	
29	18	AY116	5B-rep1		-1	27.40258	83.84589		0.9997333	38935.82	0.6915735	1.890232	FALSE	FALSE	FALSE	6.75E-06										5	9817.118	1.433442	30.29037	10147.6	-17.08448	2.033664		
29	19	AY116	5B-rep2		-1	29.44237	83.70222		0.9997403	26830.71	0.6220866	1.888854	FALSE	FALSE	FALSE	1.42E-06										7	8954.031	1.434953	32.33214	8657.93	-20.50984	1.966931		
29	20	AY116	5B-rep3		-1	29.34697	83.71916		0.9999043	15874.88	0.6308305	1.934763	FALSE	FALSE	FALSE	8.71E-07										13	7046.862	1.386902	32.17346	10344.52	1.699244	2.467961		
29	21	AY116	8B-rep1														CtIsLarge. CurveFitFailed																	
29	22	AY116	8B-rep2														NoAmplification																	
29	23	AY116	8B-rep3														CtIsLarge. CurveFitFailed																	
38	12	AY117	1A-rep1														NoAmplification																	
38	13	AY117	1A-rep2														NoAmplification																	
38	14	AY117	1A-rep3														NoAmplification																	
38	18	AY117	5B-rep1		-1	28.47739	77.10612		0.9999807	4657.568	0.6843703	1.914758	FALSE	FALSE	FALSE	2.71E-06										14	9716.661	1.40728	31.33072	12660.15	12.39258	2.302932		
38	19	AY117	5B-rep2														MultipleMeltPeaks																	
38	20	AY117	5B-rep3		-1	27.42622	77.34432		0.9999707	8754.571	0.6978722	1.912025	FALSE	FALSE	FALSE	6.63E-06										7	5342.167	1.410129	30.2833	14068.17	8.10518	3.63342		
38	21	AY117	8B-rep1														CtIsLarge. CurveFitFailed																	
38	22	AY117	8B-rep2														CurveFitFailed																	
38	23	AY117	8B-rep3														LowEfficiency. CtIsLarge. CurveFitFailed																	
47	12	AY118	1A-rep1														NoAmplification																	
47	13	AY118	1A-rep2														NoAmplification																	
47	14	AY118	1A-rep3														NoAmplification																	
47	18	AY118	5B-rep1		-1	28.41367	83.06324		0.9999536	8325.52	0.6446215	1.897134	FALSE	FALSE	FALSE	3.32E-06										15	9097.04	1.425943	31.29158	11251.41	-19.50663	2.236821		
47	19	AY118	5B-rep2		-1	28.26153	82.9306		0.9999642	5386.211	0.653522	1.919946	FALSE	FALSE	FALSE	2.29E-06										16	9167.547	1.401914	31.1078	9931.108	-9.679201	2.08329		
47	20	AY118	5B-rep3														NoAmplification																	
47	21	AY118	8B-rep1														CtIsLarge. CurveFitFailed																	
47	22	AY118	8B-rep2														NoAmplification																	
47	23	AY118	8B-rep3														LowEfficiency. CtIsLarge. CurveFitFailed																	
56	12	AY119	1A-rep1														NoAmplification																	
56	13	AY119	1A-rep2														NoAmplification																	
56	14	AY119	1A-rep3														CtIsLarge. CurveFitFailed																	
56	18	AY119	5B-rep1		-1	28.27959	88.21501		0.9997947	40090.98	0.6858498	1.980376	FALSE	FALSE	FALSE	9.91E-07										19	10349.59	1.343379	31.04876	10809.04	16.73187	2.044393		
56	19	AY119	5B-rep2		-1	28.70599	88.51736		0.9996864	64742.96	0.6681495	1.948373	FALSE	FALSE	FALSE	1.29E-06										7	9514.152	1.373502	31.51483	11904.15	11.47292	2.251204		
56	20	AY119	5B-rep3		-1	30.85684	88.24746		0.9998942	16691.6	0.5661368	1.997961	FALSE	FALSE	FALSE	1.05E-07	CtIsLarge									11	5422.697	1.327602	33.60524	10371.39	16.36265	2.91259		
56	21	AY119	8B-rep1		-1	29.91221	84.6906		0.9999729	5587.413	0.5787761	1.948151	FALSE	FALSE	FALSE	5.62E-07	CtIsLarge									15	5668.215	1.373718	32.72134	12423.95	-2.754166	3.191863		
56	22	AY119	8B-rep2		-1	30.01133	87.6936		0.9997763	58830.48	0.5823429	1.987473	FALSE	FALSE	FALSE	3.14E-07	CtIsLarge									12	7192.713	1.336948	32.77204	13897.35	8.036668	2.932142		
56	23	AY119	8B-rep3														CtIsLarge. MultipleMeltPeaks																	
27	24	AY12	1A-rep1														NoAmplification																	
27	25	AY12	1A-rep2														NoAmplification																	
27	26	AY12	1A-rep3														NoAmplification																	
27	30	AY12	5B-rep1														NoAmplification																	
27	31	AY12	5B-rep2														NoAmplification																	
