Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
29	45	AY124	5A-rep1	-1	21.96	79.44	1.95	
29	46	AY124	5A-rep2	-1	22.07	79.06	1.96	MultipleMeltPeaks
29	47	AY124	5A-rep3	-1	21.88	79.23	1.96	
29	36	AY124	5C-rep1	-1	22.5	79.43	1.95	
29	37	AY124	5C-rep2	-1	22.25	79.28	1.99	
29	38	AY124	5C-rep3	-1	22.85	79.38	1.98	
38	36	AY125	4B-rep1	-1	22.87	78.79	1.96	
38	37	AY125	4B-rep2	-1	22.61	78.88	1.97	
38	38	AY125	4B-rep3	-1	22.72	78.71	1.99	
38	39	AY125	4C-rep1	-1	21.92	78.81	1.99	
38	40	AY125	4C-rep2	-1	22.23	78.85	1.97	
38	41	AY125	4C-rep3	-1	22.1	78.83	1.97	
38	45	AY125	5A-rep1	-1	19.63	78.82	2	
38	46	AY125	5A-rep2	-1	19.66	78.78	1.98	
38	47	AY125	5A-rep3	-1	19.77	78.78	1.97	
38	36	AY125	5C-rep1	-1	20.24	78.98	2.04	
38	37	AY125	5C-rep2	-1	20.15	78.92	2	
38	38	AY125	5C-rep3	-1	20.54	78.98	2	
47	36	AY126	4B-rep1	-1	19.93	79.29	2	
47	37	AY126	4B-rep2	-1	20.5	79.22	1.99	
47	38	AY126	4B-rep3	-1	20.07	79.22	1.97	
47	39	AY126	4C-rep1	-1	19.1	79.24	1.98	
47	40	AY126	4C-rep2	-1	19.12	79.28	2	
47	41	AY126	4C-rep3	-1	18.86	79.27	1.95	
47	45	AY126	5A-rep1	-1	16.66	79.22	1.97	
47	46	AY126	5A-rep2	-1	16.56	79.21	1.97	
47	47	AY126	5A-rep3	-1	16.45	79.22	1.98	
47	36	AY126	5C-rep1	-1	17.31	79.28	1.97	
47	37	AY126	5C-rep2	-1	17.26	79.27	1.98	
47	38	AY126	5C-rep3	-1	17.46	79.23	1.96	
56	36	AY127	4B-rep1	-1	22.99	84.29	1.92	
56	37	AY127	4B-rep2	-1	22.76	84.33	1.95	
56	38	AY127	4B-rep3	-1	22.41	84.3	1.93	
56	39	AY127	4C-rep1	-1	21.09	84.32	1.97	
56	40	AY127	4C-rep2	-1	21.51	84.33	1.95	
56	41	AY127	4C-rep3	-1	21.23	84.3	1.93	
56	45	AY127	5A-rep1	-1	18.87	84.38	1.97	
56	46	AY127	5A-rep2	-1	18.89	84.36	1.98	
56	47	AY127	5A-rep3	-1	19.12	84.37	1.97	
56	36	AY127	5C-rep1	-1	19.79	84.49	1.95	
56	37	AY127	5C-rep2	-1	19.48	84.47	1.97	
56	38	AY127	5C-rep3	-1	19.47	84.46	1.98	
65	36	AY128	4B-rep1	-1	22.41	84.25	1.95	
65	37	AY128	4B-rep2	-1	22.69	84.24	1.95	
65	38	AY128	4B-rep3	-1	22.59	84.27	1.93	
